dist,kind,category,aId,aStore,aProd,aPrice,aTitle,bId,bStore,bProd,bPrice,bTitle
131,huerfanas,"Contenedores y estuches",3224,4,,6300,"Lata de Ocultación【contenedor】discreta - Varios diseños",20009,2,,6990,"Latas de Ocultación - Distintas comidas"
131,huerfanas,"Contenedores y estuches",3224,4,,6300,"Lata de Ocultación【contenedor】discreta - Varios diseños",37041,2,,6990,"Latas de Ocultación - Distintas comidas - Ravioli"
131,huerfanas,"Encendedores y sopletes",12611,1,,37990,"Encendedor Rosado Logo Rojo-Zippo",19465,2,,32990,"Encendedor Classic Pink Matte Zippo"
132,a-producto,"Conos y blunts",15929,3,,1304,"Blunt Wrap Bubble Gum Lion Rolling Circus | PIRANHA",17943,1,10654,1490,"Blunt Hemp Wrap Strawberry Terpenes- Lion Rolling Circu"
132,a-producto,"Contenedores y estuches",12192,1,10295,35990,"Jar Verde 16Oz-Bonglab Re: Stash",35287,2,,29990,"BongLab Contenedor Re:Stash 12oz - Celeste"
132,huerfanas,"Pipas",12099,1,,9990,"Pipa Pyrex Pyro 24- Top Smoke",37591,2,,9990,"PMG Pipa Karma Go 9cm - Electric Evergreen"
133,a-producto,"Accesorios de extraccion",18581,2,10443,349990,"Puffco Vaporizador Proxy",31768,1,,349990,"Vaporizador Proxy -Puffco - BLOOM"
133,a-producto,"Accesorios de extraccion",31768,1,,349990,"Vaporizador Proxy -Puffco - BLOOM",34361,2,10443,349990,"Puffco Vaporizador Proxy - Negro"
133,a-producto,"Conos y blunts",15958,3,,1304,"Blunt Wrap Tequila Lion Rolling Circus | PIRANHA",17943,1,10654,1490,"Blunt Hemp Wrap Strawberry Terpenes- Lion Rolling Circu"
133,a-producto,"Encendedores y sopletes",12553,1,10512,34990,"Encendedor Classic Red Matte Logo - Zippo",12956,2,,39990,"Encendedor Zippo Classic Black Crackle"
133,a-producto,"Papelillos",12373,1,10731,990,"Papelillo Sabor Blueberry 1 1/4 Unidad",37797,2,,1190,"Juicy Jays Papelillos de Sabores 1 1/4 - Grape"
134,a-producto,"Bongs",26,1,5778,16990,"Tiny Bell -Bonglab",34670,2,,16990,"BongLab Bong KM4 Tiny Bell 10cm - Rosado"
134,a-producto,"Bongs",31733,1,5778,15990,"Tiny Bell -Bonglab - CLEAR",34670,2,,16990,"BongLab Bong KM4 Tiny Bell 10cm - Rosado"
134,a-producto,"Encendedores y sopletes",32902,1,,16990,"Soplete X-Mini -Ignite - SKY BLUE",34267,2,10664,17990,"Ignite Soplete X-Mini - Negro"
134,a-producto,"Otros parafernalia",1526,2,5797,5190,"Enroladora Acrilica OCB 1 1/4",12470,1,,5990,"Bamboo Rolling Machine 78Mm-Blazy Susan"
135,a-producto,"Encendedores y sopletes",17959,1,10480,6490,"Encendedor Metálico Deep Blue",35718,2,,6990,"Encendedor Clipper Metálico Rose Gold - Brillante"
136,a-producto,"Accesorios de extraccion",17204,1,,467490,"New Peak Pro Dessert-Puffco",34356,2,10561,539990,"Puffco Vaporizador New Peak Pro + Chamber 3D XL - Pearl"
136,a-producto,"Accesorios de extraccion",31831,1,,549990,"New Peak Pro (Color a elección)-Puffco - Dessert",34356,2,10561,539990,"Puffco Vaporizador New Peak Pro + Chamber 3D XL - Pearl"
136,huerfanas,"Bongs",31450,1,,23990,"R3 Mini-Bonglab - Negro",33944,2,,21241,"BongLab Bong R3 Mini 10.5cm - Rosado"
136,huerfanas,"Bongs",31662,1,,27990,"Jelly Drop-Bonglab - Morado",33840,2,,29990,"Bonglab Bong Jelly Drop 20cm - Negro"
136,a-producto,"Contenedores y estuches",2678,1,10292,21990,"Jar Ocean Tie Dye 4Oz-Bonglab Re: Stash",13469,2,,27990,"Cookies Contenedor Re:Stash 4oz"
136,a-producto,"Moledores",487,3,5510,9990,"Contenedor Moledor Herb Saver x Blazy Susan (Color Alea",33621,2,,13390,"Blazy Susan Moledor Contenedor Mini Herb Saver Lila - S"
136,a-producto,"Repuestos para bongs y vaporizadores",651,2,,29990,"Bonglab Atrapa cenizas Slits macho 14mm 90°",12213,1,10717,29990,"Atrapa Ceniza Perc 14Mm -Bonglab"
137,a-producto,"Accesorios de extraccion",15886,3,10726,66491,"Saber Electronic Dab Tool Focus V | PIRANHA",36083,2,,49990,"Focus V Saber - Dabber Eléctronico - Morado"
137,a-producto,"Accesorios de extraccion",16201,3,,89271,"Hemper Puffco Chinese Takeout Peak Top | PIRANHA",20303,2,10504,95990,"Hemper Trippy Shroom Puffco Peak Glass"
137,huerfanas,"Bongs",31661,1,,27990,"Jelly Drop-Bonglab - azul",33841,2,,29990,"Bonglab Bong Jelly Drop 20cm - Morado"
137,huerfanas,"Papelillos",12264,1,,1250,"Papelillo N9 Master 1 1/4-Smoking",13605,2,,1490,"Smoking Papelillos Deluxe 1 1/4 + Tips"
137,a-producto,"Pipas",1317,3,,19752,"Hitter Oro 22K Manchas",33609,2,5795,17990,"PMG Pipa Konjurer 32cm - Kwest Swirl"
138,a-producto,"Accesorios de extraccion",18193,1,,349990,"Vaporizador Peak-Puffco",37817,2,10678,269990,"Vaporizador Puffco Peak 2024 - Sky"
138,a-producto,"Bongs",838,3,5772,29993,"Bong Classic Ice Pro",31306,1,,37990,"Classic Ice Pro-Bonglab - Rosa"
138,a-producto,"Bongs",31306,1,,37990,"Classic Ice Pro-Bonglab - Rosa",34690,2,5772,39990,"Bonglab K288 Classic Ice Pro 35cm - Verde"
138,huerfanas,"Contenedores y estuches",3224,4,,6300,"Lata de Ocultación【contenedor】discreta - Varios diseños",37039,2,,6990,"Latas de Ocultación - Distintas comidas - Vegetable Sou"
138,a-producto,"Encendedores y sopletes",2543,1,5726,4290,"Gas Butano 300 Ml-Clipper",13467,2,,4590,"Clipper Gas Butano 7x Premium 300ml"
138,a-producto,"Encendedores y sopletes",32896,1,,16990,"Soplete X-Mini -Ignite - Blanco",34266,2,10663,15990,"Ignite Soplete Phantom Mini - Blanco"
138,a-producto,"Moledores",727,1,5510,13990,"Herb Saver Grinder Pink Large 1Un -Blazy Susan",33623,2,,13390,"Blazy Susan Moledor Contenedor Mini Herb Saver Lila - C"
139,a-producto,"Bongs",2325,4,6560,30000,"Bong Unikorn Unity de Silicona de PieceMaker Orgullo Ga",35395,2,,40990,"PMG Bong Unikorn 14cm - Blanco"
139,a-producto,"Bongs",31570,1,,53990,"The Trash Big Logo-Bonglab - Negro Humo",34660,2,5774,72990,"BongLab Bong K42 Heavy Trash 53cm - Azul"
139,huerfanas,"Bongs",31662,1,,27990,"Jelly Drop-Bonglab - Morado",33842,2,,29990,"Bonglab Bong Jelly Drop 20cm - Azul"
139,a-producto,"Encendedores y sopletes",12554,1,10582,43990,"Encendedor Hig Polish Blue Logo - Zippo",19914,2,,35990,"Encendedor Zippo Merlot"
139,huerfanas,"Encendedores y sopletes",18014,1,,990,"Variedades Encendedores-Clipper",19675,2,,990,"Encendedor Clipper Party Skulls"
139,a-producto,"Encendedores y sopletes",32895,1,,14990,"Soplete Phantom Mini-Ignite - Rojo",34267,2,10664,17990,"Ignite Soplete X-Mini - Negro"
139,a-producto,"Filtros y boquillas",398,4,10243,1300,"OCB Slim Filtros Mentolados - GB The Green Brand",11245,3,,1790,"Filtros OCB Regular 7.5mm (100u)"
139,a-producto,"Pipas",1317,3,,19752,"Hitter Oro 22K Manchas",5582,2,6011,21990,"PieceMaker Pipa Kuban 11 cm"
139,huerfanas,"Pipas",1317,3,,19752,"Hitter Oro 22K Manchas",33599,2,,21990,"PieceMaker Pipa Kuban 11 cm - Maduro"
140,huerfanas,"Bongs",31764,1,,50990,"Mercurial KH1-Bonglab - KH1",34952,2,,47990,"BongLab Bong KH1 Mercurial 24cm - Tornasol"
140,a-producto,"Contenedores y estuches",12189,1,10293,25990,"Jar Negro 8Oz-Bonglab Re: Stash",35287,2,,29990,"BongLab Contenedor Re:Stash 12oz - Celeste"
140,a-producto,"Contenedores y estuches",15944,3,10488,19752,"Estuche Anti Olor Dime Bags The Collector con Candado 2",34571,2,,25990,"Dime Bags Estuche Collector Con Clave Anti-Olor 22cm -"
140,a-producto,"Encendedores y sopletes",17959,1,10480,6490,"Encendedor Metálico Deep Blue",34112,2,,6990,"Encendedor Clipper Metálico Demon Gradient - Opaco"
140,a-producto,"Encendedores y sopletes",17961,1,10482,6490,"Encendedor Metalico Rose Gold",35718,2,,6990,"Encendedor Clipper Metálico Rose Gold - Brillante"
140,a-producto,"Otros parafernalia",32675,1,10391,43990,"CASE XL LOGO GRANDE NEGRO-OZETA",36118,2,,43990,"Ozeta Case XL - Anti-olor - Pequeño"
