offerId,tienda,titulo,productId,modelSlug,congelado,lastSeenAt,estadoVida,veredicto,motivo
of31606,astrogrowshop,"VAPORIZADOR AERIS -FOCUS V - Negro",10435,focus-v/aeris,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31572,astrogrowshop,"VAPORIZADOR CARTA SPORT -FOCUS V - Naranjo",10321,focus-v/carta-sport,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of92270,astrogrowshop,"Vaporizador Esencias Xlim Go Dark -Oxva - BLACK",10841,oxva/xlim-go,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33074,astrogrowshop,"Vaporizador Esencias Xlim Go Dark -Oxva - Gris",10841,oxva/xlim-go,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of92269,astrogrowshop,"Vaporizador Esencias Xlim Go Dark -Oxva - GREY",10841,oxva/xlim-go,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of17208,astrogrowshop,"New Peak Pro (Color a elección)-Puffco",10653,puffco/new-peak-pro,no,2026-07-27,VIVA,VINCULAR,"ratio 1.18, variante de color/diseño en misma ficha"
of31839,astrogrowshop,"New Peak (Color a elección) -Puffco - ONYX",10648,puffco/new-peak-onyx,no,2026-07-27,VIVA,VINCULAR,"ratio 1.11, variante de color/diseño en misma ficha"
of31794,astrogrowshop,"New Peak Pro Pearl + 3Dxl-Puffco - Pearl",10561,puffco/new-peak-pro-pearl-3dxl,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of18158,astrogrowshop,"Vaporizador Puffco Peak Pine Smart E-Rig",10648,puffco/new-peak-onyx,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de astrogrowshop"
of18157,astrogrowshop,"Vaporizador Puffco Peak Canyon",10648,puffco/new-peak-onyx,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de astrogrowshop"
of31614,astrogrowshop,"Vaporizador Veazy- Storz &amp; Bickel - Azul",10650,storz-bickel/veazy,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33093,astrogrowshop,"VAPORIZADOR YOCAN POCKET - azul",10503,yocan/pocket,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of88138,friendlygrow,"Vaporizador Extracciones Yocan Pocket - Rosa",10503,yocan/pocket,si,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of88140,friendlygrow,"Vaporizador Extracciones Yocan Pocket - Azul",10503,yocan/pocket,si,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of88136,friendlygrow,"Vaporizador Extracciones Yocan Pocket - Negro",10503,yocan/pocket,si,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of88141,friendlygrow,"Vaporizador Extracciones Yocan Pocket - Blanco",10503,yocan/pocket,si,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34614,fumetas,"Zengaz Encendedor Soplete ZL-12 Animal Print - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36701,fumetas,"Zengaz Encendedor Soplete Unique Faces - 1",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34618,fumetas,"Zengaz Encendedor Soplete ZL-12 Space 2 - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35201,fumetas,"Zengaz Encendedor Soplete ZL-3 Love - 1",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33622,fumetas,"Blazy Susan Moledor Contenedor Mini Herb Saver Lila - Nugs",5510,blazy-susan/herb-saver-mini,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33589,fumetas,"PMG Pipa Karma 9 cm - Racecar Red",5491,piecemaker/karma,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33581,fumetas,"PMG Pipa Karma 9 cm - Giallo Yellow",5491,piecemaker/karma,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33578,fumetas,"PMG Pipa Karma 9 cm - Octane Orange",5491,piecemaker/karma,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33584,fumetas,"PMG Pipa Karma 9 cm - Electric Green",5491,piecemaker/karma,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33585,fumetas,"PMG Pipa Karma 9 cm - Ghini Green",5491,piecemaker/karma,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33587,fumetas,"PMG Pipa Karma 9 cm - Kamo",5491,piecemaker/karma,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33586,fumetas,"PMG Pipa Karma 9 cm - Hazard Flag Yellow Fluor",5491,piecemaker/karma,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of88197,friendlygrow,"Vaporizador Airis Mystica Ace Para Cartridges - Rosa",10720,airistech/bateria-mystica-ace,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33711,fumetas,"Moledor OCB Eco Hemp 55mm - Blanco",6001,ocb/eco,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33712,fumetas,"Moledor OCB Eco Hemp 55mm - Café",6001,ocb/eco,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33710,fumetas,"Moledor OCB Eco Hemp 55mm - Menta",6001,ocb/eco,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of2132,fumetas,"Filtros Gizeh Slim con pegamento 6mm + 1 Papelillos Extra Fine",5719,gizeh/gummed-tip-slim-red-6mm-150u,no,2026-07-21,VIVA,VINCULAR,"ratio 1.10, variante de color/diseño en misma ficha"
of36162,fumetas,"Storz &amp; Bickel Estuche Veazy Case - Negro",10501,storz-bickel/venty-case,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36678,fumetas,"Zengaz Encendedor Soplete Mystica - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36680,fumetas,"Zengaz Encendedor Soplete Mystica - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36940,fumetas,"Zengaz Encendedor Soplete Lines - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36948,fumetas,"Zengaz Encendedor Soplete Skater - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36949,fumetas,"Zengaz Encendedor Soplete Skater - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36951,fumetas,"Zengaz Encendedor Soplete Smoke - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of13434,fumetas,"Zengaz Encendedor Soplete Road Trip 2",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of13436,fumetas,"Zengaz Encendedor Soplete Faces 3",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of13439,fumetas,"Zengaz Encendedor Soplete Mandala 2",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of13440,fumetas,"Zengaz Encendedor Soplete Skulls 4",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of13441,fumetas,"Zengaz Encendedor Soplete Smoke 2",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of13544,fumetas,"Zengaz Encendedor Soplete Pop 2",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of13546,fumetas,"Zengaz Encendedor Soplete Skull 3",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of13549,fumetas,"Zengaz Encendedor Soplete Space 4",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of34620,fumetas,"Zengaz Encendedor Soplete ZL-12 Space 2 - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34936,fumetas,"Zengaz Encendedor Soplete ZL-12 Natural - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35194,fumetas,"Zengaz Encendedor Soplete Faces 3 - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35209,fumetas,"Zengaz Encendedor Soplete Skulls 4 - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35211,fumetas,"Zengaz Encendedor Soplete Skulls 4 - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35185,fumetas,"Zengaz Encendedor Soplete Road Trip 2 - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of19836,fumetas,"Zengaz Encendedor Soplete Aliens",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of19839,fumetas,"Zengaz Encendedor Soplete City",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of35196,fumetas,"Zengaz Encendedor Soplete Faces 3 - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of19911,fumetas,"Zengaz Encendedor Soplete Camouflage",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of36941,fumetas,"Zengaz Encendedor Soplete Lines - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36954,fumetas,"Zengaz Encendedor Soplete Smoke - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of19971,fumetas,"Zengaz Encendedor Soplete Black",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of19974,fumetas,"Zengaz Encendedor Soplete Skater",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of19975,fumetas,"Zengaz Encendedor Soplete Smoke",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of35206,fumetas,"Zengaz Encendedor Soplete Mandala 2 - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35464,fumetas,"Zengaz Encendedor Soplete Space 4 - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34615,fumetas,"Zengaz Encendedor Soplete ZL-12 Animal Print - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34617,fumetas,"Zengaz Encendedor Soplete ZL-12 Animal Print - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34619,fumetas,"Zengaz Encendedor Soplete ZL-12 Space 2 - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34621,fumetas,"Zengaz Encendedor Soplete ZL-12 Space 2 - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36677,fumetas,"Zengaz Encendedor Soplete Mystica - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36936,fumetas,"Zengaz Encendedor Soplete Black - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35186,fumetas,"Zengaz Encendedor Soplete Road Trip 2 - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35188,fumetas,"Zengaz Encendedor Soplete Road Trip 2 - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35193,fumetas,"Zengaz Encendedor Soplete Faces 3 - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35195,fumetas,"Zengaz Encendedor Soplete Faces 3 - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35207,fumetas,"Zengaz Encendedor Soplete Mandala 2 - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35208,fumetas,"Zengaz Encendedor Soplete Mandala 2 - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35210,fumetas,"Zengaz Encendedor Soplete Skulls 4 - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35212,fumetas,"Zengaz Encendedor Soplete Skulls 4 - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35215,fumetas,"Zengaz Encendedor Soplete Smoke 2 - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35216,fumetas,"Zengaz Encendedor Soplete Smoke 2 - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35213,fumetas,"Zengaz Encendedor Soplete Smoke 2 - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35445,fumetas,"Zengaz Encendedor Soplete Pop 2 - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36623,fumetas,"Zengaz Encendedor Soplete Aliens - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36624,fumetas,"Zengaz Encendedor Soplete Aliens - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36636,fumetas,"Zengaz Encendedor Soplete City - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36679,fumetas,"Zengaz Encendedor Soplete Mystica - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36800,fumetas,"Zengaz Encendedor Soplete Camouflage - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36801,fumetas,"Zengaz Encendedor Soplete Camouflage - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36942,fumetas,"Zengaz Encendedor Soplete Lines - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36953,fumetas,"Zengaz Encendedor Soplete Smoke - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34616,fumetas,"Zengaz Encendedor Soplete ZL-12 Animal Print - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34935,fumetas,"Zengaz Encendedor Soplete ZL-12 Natural - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35452,fumetas,"Zengaz Encendedor Soplete Skull 3 - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36637,fumetas,"Zengaz Encendedor Soplete Design 2 - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36622,fumetas,"Zengaz Encendedor Soplete Aliens - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36621,fumetas,"Zengaz Encendedor Soplete Aliens - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36634,fumetas,"Zengaz Encendedor Soplete City - 2",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36635,fumetas,"Zengaz Encendedor Soplete City - 3",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36938,fumetas,"Zengaz Encendedor Soplete Black - 4",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36935,fumetas,"Zengaz Encendedor Soplete Black - 1",5727,zengaz/torch-lighter-zl-12,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of19850,fumetas,"Zengaz Encendedor Soplete Mystica",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of19972,fumetas,"Zengaz Encendedor Soplete Lines",5727,zengaz/torch-lighter-zl-12,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of36656,fumetas,"Zengaz Encendedor Soplete ZL-3 Graffiti - 4",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34931,fumetas,"Zengaz Encendedor Soplete ZL-3 Smoke - 2",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of19438,fumetas,"Zengaz Encendedor Soplete ZL-3 Glow In Dark",10237,zengaz/torch-lighter-zl-3,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of19544,fumetas,"Zengaz Encendedor Soplete Crazy Animals",10237,zengaz/torch-lighter-zl-3,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of19844,fumetas,"Zengaz Encendedor Soplete ZL-3 Graffiti",10237,zengaz/torch-lighter-zl-3,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of19855,fumetas,"Zengaz Encendedor Soplete Zombie",10237,zengaz/torch-lighter-zl-3,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of35459,fumetas,"Zengaz Encendedor Space 3 - 1",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35462,fumetas,"Zengaz Encendedor Space 3 - 4",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35202,fumetas,"Zengaz Encendedor Soplete ZL-3 Love - 2",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36178,fumetas,"Zengaz Encendedor Soplete Crazy Animals - 4",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36628,fumetas,"Zengaz Encendedor Soplete ZL-3 Animals - 4",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36652,fumetas,"Zengaz Encendedor Soplete Foodie - 4",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36653,fumetas,"Zengaz Encendedor Soplete ZL-3 Graffiti - 1",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36698,fumetas,"Zengaz Encendedor Soplete Zombie - 2",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34932,fumetas,"Zengaz Encendedor Soplete ZL-3 Smoke - 3",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34933,fumetas,"Zengaz Encendedor Soplete ZL-3 Smoke - 4",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35219,fumetas,"Zengaz Encendedor Soplete ZL-3 Space 2 - 3",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35461,fumetas,"Zengaz Encendedor Space 3 - 3",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35992,fumetas,"Zengaz Encendedor Soplete ZL-3 Glow In Dark - 1",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35993,fumetas,"Zengaz Encendedor Soplete ZL-3 Glow In Dark - 2",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35995,fumetas,"Zengaz Encendedor Soplete ZL-3 Glow In Dark - 4",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36651,fumetas,"Zengaz Encendedor Soplete Foodie - 3",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36654,fumetas,"Zengaz Encendedor Soplete ZL-3 Graffiti - 2",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36702,fumetas,"Zengaz Encendedor Soplete Unique Faces - 2",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36703,fumetas,"Zengaz Encendedor Soplete Unique Faces - 3",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36704,fumetas,"Zengaz Encendedor Soplete Unique Faces - 4",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of13548,fumetas,"Zengaz Encendedor Space 3",10237,zengaz/torch-lighter-zl-3,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of35204,fumetas,"Zengaz Encendedor Soplete ZL-3 Love - 4",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35994,fumetas,"Zengaz Encendedor Soplete ZL-3 Glow In Dark - 3",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36177,fumetas,"Zengaz Encendedor Soplete Crazy Animals - 3",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36176,fumetas,"Zengaz Encendedor Soplete Crazy Animals - 2",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36697,fumetas,"Zengaz Encendedor Soplete Zombie - 1",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36625,fumetas,"Zengaz Encendedor Soplete ZL-3 Animals - 1",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36626,fumetas,"Zengaz Encendedor Soplete ZL-3 Animals - 2",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36655,fumetas,"Zengaz Encendedor Soplete ZL-3 Graffiti - 3",10237,zengaz/torch-lighter-zl-3,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
