offerId,tienda,titulo,precio,productId,modelSlug,tiendas,congelado,efecto,ratioPrecio,veredicto,motivo
of80502,piranha,"""Filtros Soulblime Chocolate Slim Filters 6x15mm (150u) | PIRANHA""",1290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of80503,piranha,"""Filtros Soulblime Menthol Slim Filters 6x15mm (150u) | PIRANHA""",1290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15778,piranha,"""Pack Cepillos de Limpieza Storz & Bickel (3u)| PIRANHA""",4990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11119,piranha,"""Vaporizador Volcano Classic Evergreen Edition | PIRANHA""",348292,10302,storz-bickel/volcano-classic-gold-24k,3,no,SUMA-TIENDA,1.44,VINCULAR,"similitud 0.429, SUMA-TIENDA a P10302 (3t)"
of16026,piranha,"""Mighty Juego de Boquillas""",13900,10264,storz-bickel/mouthpiece-crafty-4u,3,no,,1.01,VINCULAR,"similitud 0.600, ya tiene piranha"
of16088,piranha,"""Cápsula Dosificadora Mighty/Crafty | PIRANHA""",990,,,,,,"",NO-VINCULAR,"ratio 28.3 o similitud 0.571 — modelo distinto"
of16103,piranha,"""Crafty/Crafty+ Estuche Rígido| PIRANHA""",17991,10287,storz-bickel/mighty,3,no,,1.67,VINCULAR,"similitud 0.400, ya tiene piranha"
of16057,piranha,"""Cápsula Dosificadora (Concentrados))| PIRANHA""",2490,,,,,,"",NO-VINCULAR,"ratio 11.2 o similitud 0.571 — modelo distinto"
of3384,piranha,"""Volcano Hybrid Set Tubos 3x1m c/u | PIRANHA""",42741,10358,storz-bickel/volcano-hybrid-boquillas-4u,2,"",,3.01,NECESITA-FOTO,"ratio 3.01 — verificar modelo"
of15738,piranha,"""Volcano Juego de Tubo de Globo (3m)""",4990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11107,piranha,"""Volcano Hybrid Cámara de Hierbas| PIRANHA""",94991,10263,storz-bickel/dosing-capsules-volcano-camara,3,no,,1.26,VINCULAR,"similitud 0.400, ya tiene piranha"
of15860,piranha,"""Válvula Solid Valve Pieza Interior de la Cámara de Relleno""",11391,10854,storz-bickel/solid-valve-pieza-labial-3u,2,"",,2.59,NECESITA-FOTO,"ratio 2.59 — verificar modelo"
of11086,piranha,"""Volcano Hybrid Air Filter Cap""",3791,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11087,piranha,"""Volcano Hybrid Air Filter Set""",4990,10358,storz-bickel/volcano-hybrid-boquillas-4u,2,"",,2.84,NECESITA-FOTO,"ratio 2.84 — verificar modelo"
of16029,piranha,"Crafty Adaptador de Corriente",15990,10287,storz-bickel/mighty,3,no,,1.88,NECESITA-FOTO,"RATIO 0.53x — verificar modelo"
of16175,piranha,"""Crafty Kit de Repuestos""",29742,10275,storz-bickel/piezas-desgaste-mighty,3,no,,1.49,VINCULAR,"similitud 0.600, ya tiene piranha"
of513,piranha,"""Válvula Solid Valve Set""",110492,10519,storz-bickel/easy-valve-starter-set,2,no,,1.32,VINCULAR,"similitud 0.500, ya tiene piranha"
of5623,piranha,"Moledor Plástico Bulldog 6cm 2 Partes",4990,10096,the-bulldog/plastic-3-partes-63mm,3,no,SUMA-TIENDA,2.00,NECESITA-FOTO,"RATIO 2x — verificar modelo"
of11239,piranha,"""Cono Preenrolado Vibes 2g (3u)""",2793,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11240,piranha,"""Cono Preenrolado Vibes 3g (3u)""",3493,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of16190,piranha,"""Kit Vibes x Piranha""",1862,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of698,piranha,"""Cono Preenrolado Vibes Cubano 8g (1u)""",1494,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15682,piranha,"Resistencia Vaporizador Yocan Falcon 5u | PIRANHA",39992,10468,yocan/falcon-kit-6-en-1,2,no,,2.50,NO-VINCULAR,"RATIO 0.4x — accesorio/repuesto vs kit"
of11186,piranha,"""Resistencia Vaporizador Yocan Orbit Coil Cuarzo (5u) | PIRANHA""",49192,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15591,piranha,"""Repuesto Cámara de Cerámica Cloud 3 | PIRANHA""",47491,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15863,piranha,"""Encendedor Zippo Leaf Design Engraved""",34990,10308,zippo/cannabis-design-3,2,no,SUMA-TIENDA,1.29,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10308 (2t)"
of15923,piranha,"""Encendedor Zippo Iron Stone""",34990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71226,growbarato,"""Vaporizador Switch Airistech - GB The Green Brand""",76500,10680,airistech/herbva-nokiva,3,no,,1.09,VINCULAR,"similitud 0.500, ya tiene growbarato"
of11380,growbarato,"""Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached – Kit de enrolar natural""",1700,5421,blazy-susan/unbleached-king-size-slim,2,no,SUMA-TIENDA,1.32,VINCULAR,"similitud 0.500, SUMA-TIENDA a P5421 (2t)"
of11480,growbarato,"""Blazy Susan Papelillo en Rollo Purple + 50 Boquillas – Papeles Personalizables""",1800,10353,blazy-susan/roll-8m-pink,3,no,SUMA-TIENDA,1.38,VINCULAR,"similitud 0.545, SUMA-TIENDA a P10353 (3t)"
of11379,growbarato,"Papelillo King Size Slim Blazy Susan Deluxe Kit Purple – Papeles de enrolar premium",1600,10283,blazy-susan/unbleached-1-1-4-con-tips,2,no,SUMA-TIENDA,1.56,NO-VINCULAR,"TALLA: king size es talla distinta de 1-1-4"
of11378,growbarato,"Papelillo King Size Slim Blazy Susan Deluxe Kit Rosado – Papeles de Enrolar Premium",1600,10283,blazy-susan/unbleached-1-1-4-con-tips,2,no,SUMA-TIENDA,1.56,NO-VINCULAR,"TALLA: king size es talla distinta de 1-1-4"
of11336,growbarato,"""Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos""",400,10068,blazy-susan/pink-king-size-slim,3,"",SUMA-TIENDA,2.48,NECESITA-FOTO,"ratio 2.48 + similitud baja 0.364"
of1420,growbarato,"""Bong R2 Bonglab 17cm - Una experiencia de fumado excepcional""",17600,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of3153,growbarato,"""Bong Cristal Mini para marihuana 8-17 cm""",14400,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71166,growbarato,"""Bonglab Pocket Twister 23cm – Bong Compacto Negro y Verde | GrowBaratoChile""",28800,10466,bonglab/tough-beaker-23cm,2,no,SUMA-TIENDA,1.03,VINCULAR,"similitud 0.364, SUMA-TIENDA a P10466 (2t)"
of71238,growbarato,"""Bonglab Papel de celulosa para Rosin""",7200,10514,bonglab/rosin-paper-aluminio,2,no,SUMA-TIENDA,1.25,VINCULAR,"similitud 0.571, SUMA-TIENDA a P10514 (2t)"
of71151,growbarato,"""Mallas Rosin 25, 90, 120 y 160 Micras Bonglab | Extracción Rosin""",7200,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of70855,growbarato,"""Classic Ice de Bonglab - Gb The Green Brand""",19800,5522,bonglab/mad-professor,4,"",,2.63,NECESITA-FOTO,"ratio 2.63 — verificar modelo"
of71194,growbarato,"""Contenedor Extractos 4ml Bonglab Blanco y Negro | Wax Dab Storage Chile""",3200,5760,bonglab/extract-container-extracts-4ml,3,no,SUMA-TIENDA,1.09,VINCULAR,"similitud 0.455, SUMA-TIENDA a P5760 (3t)"
of533,growbarato,"""Mason Re: Stash Jar de Bonglab de vidrio""",21600,10522,bonglab/re-stash-jar-rosado-4oz,2,no,SUMA-TIENDA,1.11,VINCULAR,"similitud 0.429, SUMA-TIENDA a P10522 (2t)"
of70985,growbarato,"""Bong Para Extracciones Heavy Cone""",24100,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71234,growbarato,"""Heavy Pill Cabo para hierba seca""",12500,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of70795,growbarato,"""Bong Rig Wax Set | Dab Rig de Vidrio con Percolador Shower Calvo Glass""",22500,10289,calvo/monster,4,"",,2.93,NECESITA-FOTO,"ratio 2.93 — verificar modelo"
of1391,growbarato,"""Moledor Cerámico Calvo Glass 63mm【con cierre de neodimio】""",25500,5504,calvo/lite-aluminio-63mm,3,no,,1.42,VINCULAR,"similitud 0.400, ya tiene growbarato"
of3179,growbarato,"""Spinner Carb Cap de Calvo Glass""",4900,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71071,growbarato,"""Difusor Calvo Classic 14mm Clear 10cm | Downstem para Bong Chile""",5500,10322,calvo/difusor-classic-10cm,2,no,SUMA-TIENDA,1.10,VINCULAR,"similitud 0.455, SUMA-TIENDA a P10322 (2t)"
of11427,growbarato,"""Batería Calvo Hidden 510 | Vaporizador para Catridge Discreto y Elegante Ocultación 650mAh""",22500,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11433,growbarato,"""Insert Banger Fondo Opaco Calvo Glass""",18900,10555,calvo/insert-fondo-blanco,2,"",SUMA-TIENDA,3.16,NECESITA-FOTO,"ratio 3.16 — verificar modelo"
of70892,growbarato,"El Bong Tubular Calvo 40cm- Calvo Glass",41300,10290,calvo/abejas-35cm,3,no,,1.37,NO-VINCULAR,"TALLA: 40cm es talla distinta de 35cm"
of11600,growbarato,"""Bangers Calvo de gran calidad y resistencia""",5400,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of70870,growbarato,"""Calvo Terp Balls Luminosas 4mm | Perlas para Banger y Dabs""",4500,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71214,growbarato,"""Calvo Glass Ruby Pearls para extracciones""",3600,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of1443,growbarato,"""Encendedor Clipper varios modelos disponibles""",1000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11515,growbarato,"""Piedra Clipper┃Repuesto para encendedor""",550,10318,clipper/pedernal-3u,2,no,SUMA-TIENDA,1.80,VINCULAR,"similitud 0.375, SUMA-TIENDA a P10318 (2t)"
of11487,growbarato,"""Encendedor Clipper Hippie - GB The Green Brand""",1000,10145,raw/rolling-machine-ecoplastic-king-size,5,"",,3.79,NECESITA-FOTO,"ratio 3.79 — verificar modelo"
of71053,growbarato,"""Encendedor Clipper Animals - GB The Green Brand""",1000,10145,raw/rolling-machine-ecoplastic-king-size,5,"",,3.79,NECESITA-FOTO,"ratio 3.79 — verificar modelo"
of11561,growbarato,"""Repuesto Pedernal Clipper | Consíguelo en GB The GreenBrand Chile""",900,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of1384,growbarato,"""Encendedor Clipper GB The Green Brand - GB The Green Brand""",1000,,,,,,"",NO-VINCULAR,"ratio 7.0 o similitud 0.375 — modelo distinto"
of71199,growbarato,"""Miracle Alien Cookies (MAC) GB Strains- GB The Green Brand""",21000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71041,growbarato,"Calcetines Cookies Original Mint Socks Black & White | Calcetines Largos",15900,10588,raw/calcetines-negros,2,no,SUMA-TIENDA,1.33,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA cookies->raw"
of71198,growbarato,"""Auto Tropicanna Cookies XXL GB Strains""",7500,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11581,growbarato,"""Davinci Accessory Kik【para dispositivo Davinci】Growbarato✅""",9000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71008,growbarato,"""Vaporizador Davinci IQ para nuestras flores""",225900,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of1394,growbarato,"""Kit de Inicio Vaporizador Dynavap M7 | Todo en 1 sin batería""",159000,10189,dynavap/m7-xl,3,no,,1.21,VINCULAR,"similitud 0.385, ya tiene growbarato"
of71163,growbarato,"""Bandejas Smoking Galaxy Collection | Heaven, Inferno y Earth""",11200,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11568,growbarato,"""Práctico Snuffer Galaxy en varios colores - GB The Green Brand""",7100,10082,galaxy/ceramic-60mm,4,"",,4.65,NECESITA-FOTO,"ratio 4.65 — verificar modelo"
of542,growbarato,"""Galaxy Stardust cenicero de metal""",11700,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of147,growbarato,"""Porta Pitos - Galaxy【guarda caños】en Growbarato Chile""",9000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71140,growbarato,"""Soplete Phantom Black-Ignite para calentar su hierba""",19800,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71184,growbarato,"""Soplete Ignite Flex - GB The Green Brand""",19500,10666,ignite/flex,3,no,SUMA-TIENDA,1.13,VINCULAR,"similitud 0.375, SUMA-TIENDA a P10666 (3t)"
of71107,growbarato,"""Humidificador Kasvi 8 Litros | Control de Humedad para Cultivo""",51900,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of70844,growbarato,"""Bandeja Trimming Kasvi para Manicura y Recolección | Growbarato Chile""",56500,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71294,growbarato,"""Tainer Lion Rolling Circus | Contenedor con Moledor Hermético""",5300,5515,lion-rolling-circus/metal-2-partes,3,no,,1.43,VINCULAR,"similitud 0.400, ya tiene growbarato"
of11588,growbarato,"""Unbleach King Size de Lion Rolling Circus""",1300,10452,lion-rolling-circus/alfalfa-king-size,3,no,SUMA-TIENDA,1.07,VINCULAR,"similitud 0.444, SUMA-TIENDA a P10452 (3t)"
of11606,growbarato,"Lion Rolling Circus Unbleach - Papel sin blanquear",850,10274,lion-rolling-circus/alfalfa,5,si,,1.16,NO-VINCULAR,"producto congelado (5t) ya tiene growbarato"
of11602,growbarato,"""Lion Rolling Circus Transparent 1/1.4 - Growbarato""",1600,10565,lion-rolling-circus/cenicero-metalico,3,no,SUMA-TIENDA,1.24,VINCULAR,"similitud 0.375, SUMA-TIENDA a P10565 (3t)"
of11594,growbarato,"""Lion Rolling Circus Transparent Block 420 - Growbarato""",5400,10620,lion-rolling-circus/small,3,no,,1.02,VINCULAR,"similitud 0.444, ya tiene growbarato"
of71110,growbarato,"""Lion Rolling Circus Grinder Acrilico 2 Partes - GB The Green Brand""",1900,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11538,growbarato,"""Hemp Wraps Rolling Stones Lion Rolling Circus | Diferentes sabores""",1400,10544,lion-rolling-circus/hemp-wrap-tangie,3,no,SUMA-TIENDA,1.06,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10544 (3t)"
of537,growbarato,"Lion Rolling Circus Wrap Natural Blunts",1400,10733,lion-rolling-circus/terpenes-gelato,2,no,SUMA-TIENDA,1.42,NO-VINCULAR,"SABOR distinto: SABOR natural vs destino gelato"
of71289,growbarato,"""Cone Hemp Gold de Lion Rolling Circus""",10800,,,,,,"",NO-VINCULAR,"ratio 7.3 o similitud 0.400 — modelo distinto"
of71246,growbarato,"Lion Rolling Circus Sylver papel fino de calidad",900,10274,lion-rolling-circus/alfalfa,5,si,,1.10,NO-VINCULAR,"producto congelado (5t) ya tiene growbarato"
of71245,growbarato,"""Conos Hemp Gelato Berry Lion Rolling Circus | con Terpenos""",1800,10568,lion-rolling-circus/hemp-wrap-berry-gelato,2,no,SUMA-TIENDA,1.11,VINCULAR,"similitud 0.357, SUMA-TIENDA a P10568 (2t)"
of71243,growbarato,"""Lion Rolling Circus Transparent King Size - Growbarato Chile""",1500,10452,lion-rolling-circus/alfalfa-king-size,3,no,SUMA-TIENDA,1.08,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10452 (3t)"
of71232,growbarato,"""Tips pequeños de Lion Rolling Circus""",800,10565,lion-rolling-circus/cenicero-metalico,3,"",SUMA-TIENDA,2.49,NECESITA-FOTO,"ratio 2.49 + similitud baja 0.375"
of11582,growbarato,"""Lion Rolling Circus Pre Rolled Filters""",3400,10565,lion-rolling-circus/cenicero-metalico,3,no,SUMA-TIENDA,1.71,VINCULAR,"similitud 0.375, SUMA-TIENDA a P10565 (3t)"
of320,growbarato,"""OCB Filtro Premium Slim Bolsa - GB The Green Brand""",1800,10243,ocb/paper-filter-slim,2,no,,1.38,VINCULAR,"similitud 0.700, ya tiene growbarato"
of308,growbarato,"""OCB Filtro de Carbón Activo - GB The Green Brand""",300,,,,,,"",NO-VINCULAR,"ratio 269.1 o similitud 0.364 — modelo distinto"
of71015,growbarato,"OCB Papel Blanco Mini - GB The Green Brand",450,5817,ocb/ultimate,5,si,,1.78,NO-VINCULAR,"producto congelado (5t) ya tiene growbarato"
of71061,growbarato,"""Contenedor hermético OZeta - GB The Green Brand""",900,,,,,,"",NO-VINCULAR,"ratio 43.3 o similitud 0.500 — modelo distinto"
of3225,growbarato,"""Kit Fumeta OZeta Case XL antiolor""",39500,10391,ozeta/case-xl,3,no,SUMA-TIENDA,1.11,VINCULAR,"similitud 0.429, SUMA-TIENDA a P10391 (3t)"
of11457,growbarato,"""Mochila con Clave OZeta con filtro antiolor""",50500,10657,ozeta/mochila-slim,3,no,SUMA-TIENDA,1.58,VINCULAR,"similitud 0.571, SUMA-TIENDA a P10657 (3t)"
of3134,growbarato,"""Mecha de Cáñamo Ozeta""",1000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71112,growbarato,"""Ozeta Ywiwis - Estuche con tecnología CDO""",25200,7885,ozeta/case-ywiwis,4,si,SUMA-TIENDA,1.11,VINCULAR,"similitud 0.500, SUMA-TIENDA a P7885 (4t)"
of71113,growbarato,"""Ozeta Techbag┃Bolso anti - olor""",31600,10763,ozeta/softbag,2,no,SUMA-TIENDA,1.05,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10763 (2t)"
of70827,growbarato,"Bandolera OZeta - GB The Greeb Brand",36800,5763,ozeta/bag-chestbag-circular,4,si,,1.06,NO-VINCULAR,"producto congelado (4t) ya tiene growbarato"
of71013,growbarato,"Bolso Cilíndrico Anti-Olor de Ozeta grande",39600,10391,ozeta/case-xl,3,no,SUMA-TIENDA,1.11,NO-VINCULAR,"TALLA: grande es talla distinta de xl"
of71001,growbarato,"""Pax 3 - Basic Kit┃ Vaporizador para hierba seca y concentrados""",276300,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of70905,growbarato,"""Pax 3 vaporizador para marihuana y bho""",319500,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of3168,growbarato,"""Bong de silicona Klutch de Piece Maker""",22900,5491,piecemaker/karma,3,"",,2.55,NECESITA-FOTO,"ratio 2.55 — verificar modelo"
of11585,growbarato,"""PieceMaker Gear Kolt | Bong Flexible y Ergonómico""",18000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71153,growbarato,"""Kontainer de Piece Maker para extracciones""",3200,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of70881,growbarato,"""Conos RAW 5 Stages | Conos pre-armados papel natural – GrowBaratoChile""",3400,10411,raw/rawket-5-stages,2,"",SUMA-TIENDA,2.06,NECESITA-FOTO,"ratio 2.06 + similitud baja 0.375"
of2292,growbarato,"""RAW Connoisseur 1.1/4+ Tips es kit de fumador""",1600,10186,raw/black-connoisseur-1-1-4-tips,1,no,SUMA-TIENDA,1.19,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10186 (1t)"
of11567,growbarato,"""RAW Pre Rolled Tips de RAW filtros de calidad""",1300,10053,raw/classic-con-tips,3,no,,1.15,VINCULAR,"similitud 0.400, ya tiene growbarato"
of150,growbarato,"""Soplete Ronson┃Encendido fácil y recargable✅""",3600,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of1426,growbarato,"""Encendedor Ronson Electrolite【recargable】""",700,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11592,growbarato,"""Encendedor Monster Ronson【llama regulable】""",700,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of1396,growbarato,"""Encendedor De Cocina - Ronson Pequeño【 Recargable 】""",1000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11559,growbarato,"""Ceniceros Smoking Metálicos Retro Labels, Skater, Flames y Surf""",4800,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of22143,growbarato,"""Tubos Guarda Pitos SoulBlime""",1000,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of16757,growbarato,"""Moledor Tarjeta Soulblime portátil""",2300,6003,soulblime/tarjeta,3,no,,1.30,VINCULAR,"similitud 1.000, ya tiene growbarato"
of22156,growbarato,"""Cajita Metálica SoulBlime varios diseños""",1800,10236,soulblime/sliding,3,no,,1.11,VINCULAR,"similitud 0.429, ya tiene growbarato"
of71241,growbarato,"""Mighty Wash Limpiador de Residuos y Araña Roja en Spray""",10800,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of1406,growbarato,"""Encendedor Clipper Bulldog Ámsterdam - GB The Green Brand""",1000,10145,raw/rolling-machine-ecoplastic-king-size,5,"",,3.79,NECESITA-FOTO,"ratio 3.79 — verificar modelo"
of3227,growbarato,"""VIBES CONES CUBANO - Conos pre-enrolados""",1600,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of2291,growbarato,"Papelillos Vibes 1.¼ Organic Hemp",1300,10868,raw/organic-hemp-1-1-4,2,no,SUMA-TIENDA,1.19,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA vibes->raw"
of71114,growbarato,"""VIBES The Cali Hemp 2G - Hemp""",3400,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71106,growbarato,"""Zippo Logo┃elegancia y calidad al mejor precio""",14400,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of71009,growbarato,"""Zippo Leaf Engraved【barato】en GB The Green Brand✅""",20900,10680,airistech/herbva-nokiva,3,"",,3.35,NECESITA-FOTO,"ratio 3.35 — verificar modelo"
of69011,kushbreak,"""Blazer Big Buddy Soplete""",49990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69187,kushbreak,"""Blazer Stingray Soplete""",59990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69454,kushbreak,"""Blunt Wrap Platinum 2x""",890,8638,blunt-wrap/wrap-platinum-2u,2,no,SUMA-TIENDA,1.11,VINCULAR,"similitud 0.600, SUMA-TIENDA a P8638 (2t)"
of69223,kushbreak,"""Repuesto Difusor CALVO GLASS""",9990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69053,kushbreak,"""Encendedor Clipper® Fatima""",1000,10578,clipper/burningman,2,no,SUMA-TIENDA,1.00,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10578 (2t)"
of69133,kushbreak,"""Encendedor Clipper® Dogs""",1000,10578,clipper/burningman,2,no,SUMA-TIENDA,1.00,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10578 (2t)"
of69169,kushbreak,"""Encendedor Clipper® Geometric""",1000,10578,clipper/burningman,2,no,SUMA-TIENDA,1.00,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10578 (2t)"
of69171,kushbreak,"""Encendedor Clipper® Azteca""",1000,10578,clipper/burningman,2,no,SUMA-TIENDA,1.00,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10578 (2t)"
of69170,kushbreak,"""Encendedor Clipper® Hands""",1000,10578,clipper/burningman,2,no,SUMA-TIENDA,1.00,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10578 (2t)"
of69006,kushbreak,"""Encendedor Clipper®""",1000,10578,clipper/burningman,2,no,SUMA-TIENDA,1.00,VINCULAR,"similitud 0.667, SUMA-TIENDA a P10578 (2t)"
of69045,kushbreak,"""Focus V Carta 2 - Vaporizador de Hierbas y Extractos""",339990,10321,focus-v/carta-sport,3,no,SUMA-TIENDA,1.26,VINCULAR,"similitud 0.429, SUMA-TIENDA a P10321 (3t)"
of69015,kushbreak,"Futurola x Mike Tyson Papelillos 1 1/4 + Tips",2000,10187,futurola/tyson-king-size-slim-con-tips,2,no,SUMA-TIENDA,1.75,NO-VINCULAR,"TALLA: 1 1/4 es talla distinta de king-size-slim"
of69214,kushbreak,"Papelillos Kingsize Slim Futurola",1500,10146,ocb/ultimate-king-size-slim,4,si,SUMA-TIENDA,1.13,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA futurola->ocb"
of69020,kushbreak,"Smoking Papelillos Deluxe 1 1/4 + Tips",1500,10515,smoking/deluxe-king-size,2,no,SUMA-TIENDA,1.52,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA futurola->smoking + TALLA/FORMATO 1 1/4 ausente en el destino"
of69048,kushbreak,"""Conos Mega x2 Futurola""",8990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of68974,kushbreak,"Filtros Gizeh Carbon activo 8mm",1890,10347,gizeh/filtro-carbon-activo-6mm,2,no,SUMA-TIENDA,1.32,NO-VINCULAR,"TALLA: 8mm es diámetro distinto de 6mm"
of69248,kushbreak,"""Grenco Science - G Pen Elite II Vaporizer""",249990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69296,kushbreak,"""Celulosa Kingsize Lion Rolling Circus""",2500,10655,lion-rolling-circus/silver-big-smoke,3,"",SUMA-TIENDA,2.78,NECESITA-FOTO,"ratio 2.78 — verificar modelo"
of70021,kushbreak,"""Unbleached Lion Rolling Circus""",990,,,,,,"",NO-VINCULAR,"ratio 5.5 o similitud 0.600 — modelo distinto"
of69312,kushbreak,"""HempWrap Natural Lion Rolling Circus""",1390,10620,lion-rolling-circus/small,3,"",SUMA-TIENDA,3.95,NECESITA-FOTO,"ratio 3.95 — verificar modelo"
of69352,kushbreak,"Silver 1 1/4 Lion Rolling Circus",990,10655,lion-rolling-circus/silver-big-smoke,3,no,SUMA-TIENDA,1.10,NO-VINCULAR,"TALLA: 1 1/4 es talla distinta de silver-big-smoke"
of69197,kushbreak,"""Bandeja OCB Octopus""",19990,10566,ocb/bamboo-rolling-tray,2,no,SUMA-TIENDA,1.00,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10566 (2t)"
of69946,kushbreak,"""Rolled tips OCB®""",2500,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69160,kushbreak,"""Bandeja OCB Pineapple""",19990,10566,ocb/bamboo-rolling-tray,2,no,SUMA-TIENDA,1.00,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10566 (2t)"
of69042,kushbreak,"""Conos OCB® Virgin x3""",2990,5714,ocb/pre-roll-virgin-king-size-slim-3u,3,no,SUMA-TIENDA,1.50,VINCULAR,"similitud 0.500, SUMA-TIENDA a P5714 (3t)"
of69892,kushbreak,"""Filtros OCB regular""",1990,10870,ocb/regular-7-5mm,2,no,SUMA-TIENDA,1.53,VINCULAR,"similitud 1.000, SUMA-TIENDA a P10870 (2t)"
of69199,kushbreak,"""Bolso Ozeta Mediano""",28990,10415,ozeta/clip-mediano-black,4,si,SUMA-TIENDA,1.12,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10415 (4t)"
of69269,kushbreak,"""OZeta Softbag""",37990,10763,ozeta/softbag,2,no,SUMA-TIENDA,1.27,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10763 (2t)"
of69014,kushbreak,"""OZeta Duffle Bag""",79990,10715,ozeta/duffle-bag,3,no,SUMA-TIENDA,1.09,VINCULAR,"similitud 0.750, SUMA-TIENDA a P10715 (3t)"
of69213,kushbreak,"""OZeta Case XL""",40990,10391,ozeta/case-xl,3,no,SUMA-TIENDA,1.07,VINCULAR,"similitud 0.750, SUMA-TIENDA a P10391 (3t)"
of69018,kushbreak,"""Boquilla Piece maker Krutch""",2990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of69336,kushbreak,"""Puffco Plus 2023""",99990,10207,puffco/vaporizer-plus,3,no,SUMA-TIENDA,1.08,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10207 (3t)"
of69331,kushbreak,"""Puffco Ball Cap &amp",NaN,10449,puffco/peak-pro-ball-cap,3,no,SUMA-TIENDA,1.29,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10449 (3t)"
